names,description,classification,drug_id,productNames
Aspartic acid,"One of the non-essential amino acids commonly occurring in the L-form. It is found in animals and plants, especially in sugar cane and sugar beets. It may be a neurotransmitter.","This compound belongs to the class of organic compounds known as aspartic acid and derivatives. These are compounds containing an aspartic acid or a derivative thereof resulting from reaction of aspartic acid at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.Aspartic acid and derivativesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAmino acidsCarbonyl compoundsCarboxylic acidsDicarboxylic acids and derivativesFatty acids and conjugatesHydrocarbon derivativesL-alpha-amino acidsMonoalkylaminesOrganic oxidesOrganopnictogen compoundsAliphatic acyclic compoundAlpha-amino acidAmineAmino acidAspartic acid or derivativesCarbonyl groupCarboxylic acidDicarboxylic acid or derivativesFatty acidHydrocarbon derivativeL-alpha-amino acidOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPrimary aliphatic aminePrimary amine",DB00128,20% Prosol
Ornithine,"Produced during the urea cycle, ornithine is an amino acid produced from the splitting off of urea from arginine. L-Ornithine allows for the disposal of excess nitrogen and acts as a precursor of citrulline and arginine.","This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.L-alpha-amino acidsOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAmino acidsCarbonyl compoundsCarboxylic acidsFatty acids and conjugatesHydrocarbon derivativesMonoalkylaminesMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsAliphatic acyclic compoundAmineAmino acidCarbonyl groupCarboxylic acidFatty acidHydrocarbon derivativeL-alpha-amino acidMonocarboxylic acid or derivativesOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPrimary aliphatic aminePrimary amine",DB00129,Primene
L-Glutamine,A non-essential amino acid present abundantly throughout the body and is involved in many metabolic processes. It is synthesized from glutamic acid and ammonia. It is the principal carrier of nitrogen in the body and is an important energy source for many cells. An oral formulation of L-glutamine was approved by the FDA in July 2017 for use in sickle cell disease [L892]. This oral formulation is marketed under the tradename Endari by Emmaus Medical.,"This compound belongs to the class of organic compounds known as l-alpha-amino acids. These are alpha amino acids which have the L-configuration of the alpha-carbon atom.L-alpha-amino acidsOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAmino acidsCarbonyl compoundsCarboximidic acidsCarboxylic acidsFatty acids and conjugatesHydrocarbon derivativesMonoalkylaminesMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsAliphatic acyclic compoundAmineAmino acidCarbonyl groupCarboximidic acidCarboximidic acid derivativeCarboxylic acidFatty acidHydrocarbon derivativeL-alpha-amino acidMonocarboxylic acid or derivativesOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPrimary aliphatic aminePrimary amine",DB00130,Endari
Adenosine phosphate,"Adenosine phosphate, or adenylic acid, is an adenine nucleotide containing one phosphate group esterified to the sugar moiety in the 2&#39;-, 3&#39;-, or 5&#39;-position. Adenosine phosphate was withdrawn by the FDA since it was considered neither safe nor effective for its intended uses as a vasodilator and an anti-inflammatory.[L43937]","This compound belongs to the class of organic compounds known as purine ribonucleoside monophosphates. These are nucleotides consisting of a purine base linked to a ribose to which one monophosphate group is attached.Purine ribonucleoside monophosphatesOrganic compoundsNucleosides, nucleotides, and analoguesPurine nucleotidesPurine ribonucleotides1,2-diols6-aminopurinesAminopyrimidines and derivativesAzacyclic compoundsGlycosylaminesHeteroaromatic compoundsHydrocarbon derivativesImidolactamsMonoalkyl phosphatesMonosaccharide phosphatesN-substituted imidazolesOrganic oxidesOrganopnictogen compoundsOxacyclic compoundsPentose phosphatesPrimary aminesSecondary alcoholsTetrahydrofurans1,2-diol6-aminopurineAlcoholAlkyl phosphateAmineAminopyrimidineAromatic heteropolycyclic compoundAzacycleAzoleGlycosyl compoundHeteroaromatic compoundHydrocarbon derivativeImidazoleImidazopyrimidineImidolactamMonoalkyl phosphateMonosaccharideMonosaccharide phosphateN-glycosyl compoundN-substituted imidazoleOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganic phosphoric acid derivativeOrganoheterocyclic compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundOxacyclePentose monosaccharidePentose phosphatePentose-5-phosphatePhosphoric acid esterPrimary aminePurinePurine ribonucleoside monophosphatePyrimidineSecondary alcoholTetrahydrofuran",DB00131,NA
alpha-Linolenic acid,Alpha-linolenic acid (ALA) is a polyunsaturated omega-3 fatty acid. It is a component of many common vegetable oils and is important to human nutrition.,"This compound belongs to the class of organic compounds known as lineolic acids and derivatives. These are derivatives of lineolic acid. Lineolic acid is a polyunsaturated omega-6 18 carbon long fatty acid, with two CC double bonds at the 9- and 12-positions.Lineolic acids and derivativesOrganic compoundsLipids and lipid-like moleculesFatty AcylsLineolic acids and derivativesCarbonyl compoundsCarboxylic acidsHydrocarbon derivativesLong-chain fatty acidsMonocarboxylic acids and derivativesOrganic oxidesStraight chain fatty acidsUnsaturated fatty acidsAliphatic acyclic compoundCarbonyl groupCarboxylic acidCarboxylic acid derivativeFatty acidHydrocarbon derivativeLong-chain fatty acidMonocarboxylic acid or derivativesOctadecanoidOrganic oxideOrganic oxygen compoundOrganooxygen compoundStraight chain fatty acidUnsaturated fatty acid",DB00132,Advanced AM PM
Serine,A non-essential amino acid occurring in natural form as the L-isomer. It is synthesized from glycine or threonine. It is involved in the biosynthesis of purines; pyrimidines; and other amino acids.,"This compound belongs to the class of organic compounds known as serine and derivatives. These are compounds containing serine or a derivative thereof resulting from reaction of serine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.Serine and derivativesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAmino acidsBeta hydroxy acids and derivativesCarbonyl compoundsCarboxylic acidsHydrocarbon derivativesL-alpha-amino acidsMonoalkylaminesMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsPrimary alcoholsAlcoholAliphatic acyclic compoundAlpha-amino acidAmineAmino acidBeta-hydroxy acidCarbonyl groupCarboxylic acidHydrocarbon derivativeHydroxy acidL-alpha-amino acidMonocarboxylic acid or derivativesOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPrimary alcoholPrimary aliphatic aminePrimary amineSerine or derivatives",DB00133,2.5% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose
Methionine,A sulfur containing essential amino acid that is important in many body functions. It is a chelating agent for heavy metals.,"This compound belongs to the class of organic compounds known as methionine and derivatives. These are compounds containing methionine or a derivative thereof resulting from reaction of methionine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.Methionine and derivativesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAmino acidsCarbonyl compoundsCarboxylic acidsDialkylthioethersHydrocarbon derivativesL-alpha-amino acidsMonoalkylaminesMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsSulfenyl compoundsThia fatty acidsAliphatic acyclic compoundAlpha-amino acidAmineAmino acidCarbonyl groupCarboxylic acidDialkylthioetherFatty acidFatty acylHydrocarbon derivativeL-alpha-amino acidMethionine or derivativesMonocarboxylic acid or derivativesOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundOrganosulfur compoundPrimary aliphatic aminePrimary amineSulfenyl compoundThia fatty acidThioether",DB00134,2.5% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose
Tyrosine,"Tyrosine is a non-essential amino acid. In animals it is synthesized from [phenylalanine]. It is also the precursor of [epinephrine], thyroid hormones, and melanin.","This compound belongs to the class of organic compounds known as tyrosine and derivatives. These are compounds containing tyrosine or a derivative thereof resulting from reaction of tyrosine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.Tyrosine and derivativesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analogues1-hydroxy-2-unsubstituted benzenoidsAmino acidsAmphetamines and derivativesAralkylaminesCarbonyl compoundsCarboxylic acidsHydrocarbon derivativesL-alpha-amino acidsMonoalkylaminesMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsPhenylalanine and derivativesPhenylpropanoic acids1-hydroxy-2-unsubstituted benzenoid3-phenylpropanoic-acidAlpha-amino acidAmineAmino acidAmphetamine or derivativesAralkylamineAromatic homomonocyclic compoundBenzenoidCarbonyl groupCarboxylic acidHydrocarbon derivativeL-alpha-amino acidMonocarboxylic acid or derivativesMonocyclic benzene moietyOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPhenolPhenylalanine or derivativesPrimary aliphatic aminePrimary amineTyrosine or derivatives",DB00135,2.5% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose
Calcitriol,"Calcitriol is an active metabolite of vitamin D with 3 hydroxyl (OH) groups and is commonly referred to as 1,25-dihydroxycholecalciferol, or 1alpha,25-dihydroxyvitamin D<sub>3</sub>, 1,25-dihydroxyvitamin D<sub>3</sub>. It is produced in the body after series of conversion steps of 7-dehydrocholesterol from exposure to UV light. 7-dehydrocholesterol is converted to [DB00169] (vitamin D3) in the skin, which is then converted to [DB00146] in the liver and kidneys. [DB00146] undergoes hydroxylation to form calcitriol via 1α-hydroxylase (CYP27B1) activity [A26353]. Calcitriol is considered to be the most potent metabolite of vitamin D in humans [A3366]. Renal production of calcitriol is stimulated in response to PTH, low calcium and low phosphate [A26353]. Calcitriol plays a role in plasma calcium regulation in concert with parathyroid hormone (PTH) by enhancing absorption of dietary calcium and phosphate from the gastrointestinal tract, promoting renal tubular reabsorption of calcium in the kidneys, and stimulating the release of calcium stores from the skeletal system. In addition to promoting fatty acid synthesis and inhibiting lipolysis, calcitriol has been demonstrated to increase energy efficiency by suppressing UCP2 expression, which is modulated by signaling pathways of classical nuclear receptors (nVDR), where calcitriol acts as a natural ligand [A175615]. There is also evidence that calcitriol modulates the action of cytokines and may regulate immune and inflammatory response, cell turnover, cell differentiation [A26353]. 

Administered orally and intravenously, calcitriol is commonly used as a medication in the treatment of secondary hyperparathyroidism and resultant metabolic bone disease, hypocalcemia in patients undergoing chronic renal dialysis, and osteoporosis. It is also available in topical form for the treatment of mild to moderate plaque psoriasis in adults. Calcitriol is marketed under various trade names including Rocaltrol (Roche), Calcijex (Abbott) and Decostriol (Mibe, Jesalis).","This compound belongs to the class of organic compounds known as vitamin d and derivatives. These are compounds containing a secosteroid backbone, usually secoergostane or secocholestane.Vitamin D and derivativesOrganic compoundsLipids and lipid-like moleculesSteroids and steroid derivativesVitamin D and derivativesCyclic alcohols and derivativesHydrocarbon derivativesSecondary alcoholsTertiary alcoholsTriterpenoidsAlcoholAliphatic homopolycyclic compoundCyclic alcoholHydrocarbon derivativeOrganic oxygen compoundOrganooxygen compoundSecondary alcoholTertiary alcoholTriterpenoid",DB00136,Calcijex
Lutein,"Lutein is an xanthophyll and one of 600 known naturally occurring carotenoids. Lutein is synthesized only by plants and like other xanthophylls is found in high quantities in green leafy vegetables such as spinach, kale and yellow carrots. In green plants, xanthophylls act to modulate light energy and serve as non-photochemical quenching agents to deal with triplet chlorophyll (an excited form of chlorophyll), which is overproduced at very high light levels, during photosynthesis.","This compound belongs to the class of organic compounds known as xanthophylls. These are carotenoids containing an oxygenated carotene backbone. Carotenes are characterized by the presence of two end-groups (mostly cyclohexene rings, but also cyclopentene rings or acyclic groups) linked by a long branched alkyl chain. Carotenes belonging form a subgroup of the carotenoids family. Xanthophylls arise by oxygenation of the carotene backbone.XanthophyllsOrganic compoundsLipids and lipid-like moleculesPrenol lipidsTetraterpenoidsHydrocarbon derivativesSecondary alcoholsAlcoholAliphatic homomonocyclic compoundHydrocarbon derivativeOrganic oxygen compoundOrganooxygen compoundSecondary alcoholXanthophyll",DB00137,Corvita
Cystine,A covalently linked dimeric nonessential amino acid formed by the oxidation of cysteine. Two molecules of cysteine are joined together by a disulfide bridge to form cystine.,"This compound belongs to the class of organic compounds known as l-cysteine-s-conjugates. These are compounds containing L-cysteine where the thio-group is conjugated.L-cysteine-S-conjugatesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAmino acidsCarbonyl compoundsCarboxylic acidsDialkyldisulfidesDicarboxylic acids and derivativesHydrocarbon derivativesL-alpha-amino acidsMonoalkylaminesOrganic oxidesOrganopnictogen compoundsSulfenyl compoundsAliphatic acyclic compoundAlpha-amino acidAmineAmino acidCarbonyl groupCarboxylic acidDialkyldisulfideDicarboxylic acid or derivativesHydrocarbon derivativeL-alpha-amino acidL-cysteine-s-conjugateOrganic disulfideOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundOrganosulfur compoundPrimary aliphatic aminePrimary amineSulfenyl compound",DB00138,Amino-cerv
Succinic acid,"A water-soluble, colorless crystal with an acid taste that is used as a chemical intermediate, in medicine, the manufacture of lacquers, and to make perfume esters. It is also used in foods as a sequestrant, buffer, and a neutralizing agent. (Hawley's Condensed Chemical Dictionary, 12th ed, p1099; McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed, p1851)",This compound belongs to the class of organic compounds known as dicarboxylic acids and derivatives. These are organic compounds containing exactly two carboxylic acid groups.Dicarboxylic acids and derivativesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesDicarboxylic acids and derivativesCarbonyl compoundsCarboxylic acidsFatty acids and conjugatesHydrocarbon derivativesOrganic oxidesAliphatic acyclic compoundCarbonyl groupCarboxylic acidDicarboxylic acid or derivativesFatty acidHydrocarbon derivativeOrganic oxideOrganic oxygen compoundOrganooxygen compound,DB00139,FeRiva 21 7
Riboflavin,"Nutritional factor found in milk, eggs, malted barley, liver, kidney, heart, and leafy vegetables. The richest natural source is yeast. It occurs in the free form only in the retina of the eye, in whey, and in urine; its principal forms in tissues and cells are as flavin mononucleotide and flavin-adenine dinucleotide.","This compound belongs to the class of organic compounds known as flavins. These are compounds containing a flavin (7,8-dimethyl-benzo[g]pteridine-2,4-dione) moiety, with a structure characterized by an isoalloaxzine tricyclic ring.FlavinsOrganic compoundsOrganoheterocyclic compoundsPteridines and derivativesAlloxazines and isoalloxazinesAzacyclic compoundsBenzenoidsHeteroaromatic compoundsHydrocarbon derivativesLactamsOrganic oxidesOrganonitrogen compoundsOrganopnictogen compoundsPolyolsPrimary alcoholsPyrazinesPyrimidonesQuinoxalinesSecondary alcoholsVinylogous amidesAlcoholAromatic heteropolycyclic compoundAzacycleBenzenoidDiazanaphthaleneFlavinHeteroaromatic compoundHydrocarbon derivativeLactamOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPolyolPrimary alcoholPyrazinePyrimidinePyrimidoneQuinoxalineSecondary alcoholVinylogous amide",DB00140,24 Multivitamins + Minerals
N-Acetylglucosamine,The N-acetyl derivative of glucosamine.,This compound belongs to the class of organic compounds known as hexoses. These are monosaccharides in which the sugar unit is a is a six-carbon containing moeity.HexosesOrganic compoundsOrganic oxygen compoundsOrganooxygen compoundsCarbohydrates and carbohydrate conjugatesAcetamidesAminosaccharidesBeta-hydroxy aldehydesHydrocarbon derivativesOrganic oxidesOrganonitrogen compoundsOrganopnictogen compoundsPolyolsPrimary alcoholsSecondary alcoholsSecondary carboxylic acid amidesAcetamideAlcoholAldehydeAliphatic acyclic compoundAmino saccharideBeta-hydroxy aldehydeCarbonyl groupCarboxamide groupCarboxylic acid derivativeHexose monosaccharideHydrocarbon derivativeOrganic nitrogen compoundOrganic oxideOrganonitrogen compoundOrganopnictogen compoundPolyolPrimary alcoholSecondary alcoholSecondary carboxylic acid amide,DB00141,ACTS38 BoswelliaGel
Glutamic acid,A peptide that is a homopolymer of glutamic acid.,"This compound belongs to the class of organic compounds known as glutamic acid and derivatives. These are compounds containing glutamic acid or a derivative thereof resulting from reaction of glutamic acid at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.Glutamic acid and derivativesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAmino acidsAmino fatty acidsCarbonyl compoundsCarboxylic acidsDicarboxylic acids and derivativesHydrocarbon derivativesL-alpha-amino acidsMonoalkylaminesOrganic oxidesOrganopnictogen compoundsAliphatic acyclic compoundAlpha-amino acidAmineAmino acidAmino fatty acidCarbonyl groupCarboxylic acidDicarboxylic acid or derivativesFatty acidFatty acylGlutamic acid or derivativesHydrocarbon derivativeL-alpha-amino acidOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPrimary aliphatic aminePrimary amine",DB00142,20% Prosol
Glutathione,"A tripeptide with many roles in cells. It conjugates to drugs to make them more soluble for excretion, is a cofactor for some enzymes, is involved in protein disulfide bond rearrangement and reduces peroxides.","This compound belongs to the class of organic compounds known as peptides. These are compounds containing an amide derived from two or more amino carboxylic acid molecules (the same or different) by formation of a covalent bond from the carbonyl carbon of one to the nitrogen atom of another.PeptidesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAlkylthiolsAmino acidsCarbonyl compoundsCarboximidic acidsCarboxylic acidsDicarboxylic acids and derivativesFatty acids and conjugatesHydrocarbon derivativesL-alpha-amino acidsMonoalkylaminesN-acyl-alpha amino acidsOrganic oxidesOrganopnictogen compoundsPropargyl-type 1,3-dipolar organic compoundsAliphatic acyclic compoundAlkylthiolAlpha peptideAlpha-amino acidAlpha-amino acid or derivativesAmineAmino acidAmino acid or derivativesCarbonyl groupCarboximidic acidCarboximidic acid derivativeCarboxylic acidDicarboxylic acid or derivativesFatty acidHydrocarbon derivativeL-alpha-amino acidN-acyl-alpha amino acid or derivativesN-acyl-alpha-amino acidOrganic 1,3-dipolar compoundOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundOrganosulfur compoundPrimary aliphatic aminePrimary aminePropargyl-type 1,3-dipolar organic compound",DB00143,Deyanling(Cranberry Flavored Collagen Peptide)
Phosphatidyl serine,"Phosphatidyl serine (PS) is a phospholipid nutrient found in fish, green leafy vegetables, soybeans and rice, and is essential for the normal functioning of neuronal cell membranes and activates Protein kinase C (PKC) which has been shown to be involved in memory function. In apoptosis, phosphatidyl serine is transferred to the outer leaflet of the plasma membrane. This is part of the process by which the cell is targeted for phagocytosis. PS has been shown to slow cognitive decline in animal models. PS has been investigated in a small number of double-blind placebo trials and has been shown to increase memory performance in the elderly. Because of the potentail cognitive benefits of phosphatidylserine, the substance is sold as a dietary supplement to people who believe they can benefit from an increased intake.

The dietary supplement was originally processed from bovine sources however Prion disease scares in the 1990s outlawed this process, and a soy-based alternative was adopted.",NA,DB00144,EnBrace HR
Glycine,A non-essential amino acid. It is found primarily in gelatin and silk fibroin and used therapeutically as a nutrient. It is also a fast inhibitory neurotransmitter.,"This compound belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon).Alpha amino acidsOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAmino acidsCarbonyl compoundsCarboxylic acidsHydrocarbon derivativesMonoalkylaminesMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsAliphatic acyclic compoundAlpha-amino acidAmineAmino acidCarbonyl groupCarboxylic acidHydrocarbon derivativeMonocarboxylic acid or derivativesOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPrimary aliphatic aminePrimary amine",DB00145,2.5% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose
Calcifediol,"The major circulating metabolite of vitamin D3 (cholecalciferol). It is produced in the liver and is the best indicator of the body's vitamin D stores. It is effective in the treatment of rickets and osteomalacia, both in azotemic and non-azotemic patients. Calcifediol also has mineralizing properties.","This compound belongs to the class of organic compounds known as vitamin d and derivatives. These are compounds containing a secosteroid backbone, usually secoergostane or secocholestane.Vitamin D and derivativesOrganic compoundsLipids and lipid-like moleculesSteroids and steroid derivativesVitamin D and derivativesCyclic alcohols and derivativesHydrocarbon derivativesSecondary alcoholsTertiary alcoholsTriterpenoidsAlcoholAliphatic homopolycyclic compoundCyclic alcoholHydrocarbon derivativeOrganic oxygen compoundOrganooxygen compoundSecondary alcoholTertiary alcoholTriterpenoid",DB00146,Rayaldee
Pyridoxal,"The 4-carboxyaldehyde form of vitamin B 6 which is converted to pyridoxal phosphate which is a coenzyme for synthesis of amino acids, neurotransmitters (serotonin, norepinephrine), sphingolipids, aminolevulinic acid. [PubChem]","This compound belongs to the class of organic compounds known as pyridoxals and derivatives. These are compounds containing a pyridoxal moiety, which consists of a pyridine ring substituted at positions 2,3,4, and 5 by a methyl group, a hydroxyl group, a carbaldehyde group, and a hydroxymethyl group, respectively.Pyridoxals and derivativesOrganic compoundsOrganoheterocyclic compoundsPyridines and derivativesPyridine carboxaldehydesAromatic alcoholsAryl-aldehydesAzacyclic compoundsHeteroaromatic compoundsHydrocarbon derivativesHydroxypyridinesMethylpyridinesOrganic oxidesOrganonitrogen compoundsOrganopnictogen compoundsPrimary alcoholsVinylogous acidsAlcoholAldehydeAromatic alcoholAromatic heteromonocyclic compoundAryl-aldehydeAzacycleHeteroaromatic compoundHydrocarbon derivativeHydroxypyridineMethylpyridineOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPrimary alcoholPyridoxalVinylogous acid",DB00147,NA
Creatine,"An amino acid derivative that occurs in vertebrate tissues and in urine. In muscle tissue, creatine generally occurs as phosphocreatine. Creatine is excreted as creatinine in the urine.","This compound belongs to the class of organic compounds known as alpha amino acids and derivatives. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon), or a derivative thereof.Alpha amino acids and derivativesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesCarbonyl compoundsCarboximidamidesCarboxylic acidsGuanidinesHydrocarbon derivativesIminesMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsAliphatic acyclic compoundAlpha-amino acid or derivativesCarbonyl groupCarboximidamideCarboxylic acidGuanidineHydrocarbon derivativeImineMonocarboxylic acid or derivativesOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compound",DB00148,Ginsamin Energy
Leucine,An essential branched-chain amino acid important for hemoglobin formation.,"This compound belongs to the class of organic compounds known as leucine and derivatives. These are compounds containing leucine or a derivative thereof resulting from reaction of leucine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.Leucine and derivativesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAmino acidsCarbonyl compoundsCarboxylic acidsHydrocarbon derivativesL-alpha-amino acidsMethyl-branched fatty acidsMonoalkylaminesMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsAliphatic acyclic compoundAlpha-amino acidAmineAmino acidBranched fatty acidCarbonyl groupCarboxylic acidFatty acidFatty acylHydrocarbon derivativeL-alpha-amino acidLeucine or derivativesMethyl-branched fatty acidMonocarboxylic acid or derivativesOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPrimary aliphatic aminePrimary amine",DB00149,2.5% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose
Tryptophan,"An essential amino acid that is necessary for normal growth in infants and for nitrogen balance in adults. It is a precursor of indole alkaloids in plants. It is a precursor of serotonin (hence its use as an antidepressant and sleep aid). It can be a precursor to niacin, albeit inefficiently, in mammals.",This compound belongs to the class of organic compounds known as indolyl carboxylic acids and derivatives. These are compounds containing a carboxylic acid chain (of at least 2 carbon atoms) linked to an indole ring.Indolyl carboxylic acids and derivativesOrganic compoundsOrganoheterocyclic compoundsIndoles and derivativesIndolyl carboxylic acids and derivatives3-alkylindolesAmino acidsAralkylaminesAzacyclic compoundsBenzenoidsCarbonyl compoundsCarboxylic acidsHeteroaromatic compoundsHydrocarbon derivativesL-alpha-amino acidsMonoalkylaminesMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsSubstituted pyrroles3-alkylindoleAlpha-amino acidAlpha-amino acid or derivativesAmineAmino acidAmino acid or derivativesAralkylamineAromatic heteropolycyclic compoundAzacycleBenzenoidCarbonyl groupCarboxylic acidCarboxylic acid derivativeHeteroaromatic compoundHydrocarbon derivativeIndoleIndolyl carboxylic acid derivativeL-alpha-amino acidMonocarboxylic acid or derivativesOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPrimary aliphatic aminePrimary aminePyrroleSubstituted pyrrole,DB00150,2.5% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose
Cysteine,A thiol-containing non-essential amino acid that is oxidized to form cystine.,"This compound belongs to the class of organic compounds known as cysteine and derivatives. These are compounds containing cysteine or a derivative thereof resulting from reaction of cysteine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.Cysteine and derivativesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAlkylthiolsAmino acidsCarbonyl compoundsCarboxylic acidsHydrocarbon derivativesL-alpha-amino acidsMonoalkylaminesMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsAliphatic acyclic compoundAlkylthiolAlpha-amino acidAmineAmino acidCarbonyl groupCarboxylic acidCysteine or derivativesHydrocarbon derivativeL-alpha-amino acidMonocarboxylic acid or derivativesOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundOrganosulfur compoundPrimary aliphatic aminePrimary amine",DB00151,8.5% Freamine III
